date,ticker,price
2024-01-01,AAPL,150.50332749703784
2024-01-02,AAPL,149.24888340464872
2024-01-03,AAPL,150.1525531284755
2024-01-04,AAPL,150.47595846557715
2024-01-05,AAPL,151.28752330933466
2024-01-06,AAPL,151.62565132040228
2024-01-07,AAPL,151.88334535829966
2024-01-08,AAPL,152.79373098905342
2024-01-09,AAPL,152.019157002019
2024-01-10,AAPL,152.78099733087348
2024-01-11,AAPL,152.5538453822358
2024-01-12,AAPL,153.33804727916691
2024-01-13,AAPL,151.16254708682902
2024-01-14,AAPL,152.11824231566877
2024-01-15,AAPL,151.64244593780595
2024-01-16,AAPL,151.48736597247878
2024-01-17,AAPL,149.99737704007535
2024-01-18,AAPL,150.41692023930003
2024-01-19,AAPL,150.99325110791736
2024-01-20,AAPL,149.51768351284431
