date,adj_close
2026-05-15,299.9713134765625
2026-05-18,297.5833435058594
2026-05-19,298.7123718261719
2026-05-20,301.98956298828125
2026-05-21,304.7271728515625
2026-05-22,308.55389404296875
2026-05-26,308.0643005371094
2026-05-27,310.5821533203125
2026-05-28,312.24072265625
2026-05-29,311.7911071777344
2026-06-01,306.0460510253906
2026-06-02,314.92840576171875
2026-06-03,309.9926452636719
2026-06-04,310.9618225097656
2026-06-05,307.0751647949219
2026-06-08,301.2801818847656
2026-06-09,290.29962158203125
2026-06-10,291.3287353515625
2026-06-11,295.375244140625
2026-06-12,290.879150390625
2026-06-15,296.1645812988281
2026-06-16,298.9821472167969
2026-06-17,295.6949768066406
2026-06-18,297.7532043457031
2026-06-22,296.75408935546875
2026-06-23,294.04638671875
2026-06-24,292.8274230957031
2026-06-25,274.91290283203125
2026-06-26,283.53546142578125
2026-06-29,281.4972229003906
2026-06-30,289.11065673828125
2026-07-01,294.1263427734375
2026-07-02,308.3640441894531
2026-07-06,312.3905944824219
2026-07-07,310.3923034667969
2026-07-08,313.1199645996094
2026-07-09,315.947509765625
2026-07-10,315.0483093261719
2026-07-13,317.03656005859375
2026-07-14,314.58868408203125
2026-07-15,327.2178039550781
2026-07-16,332.97283935546875
2026-07-17,333.452392578125
2026-07-20,326.3085632324219
2026-07-21,327.45758056640625
2026-07-22,325.60919189453125
2026-07-23,321.3828430175781
2026-07-24,332.7330322265625
2026-07-27,336.61968994140625
2026-07-28,339.78692626953125
2026-07-29,337.8985900878906
2026-07-30,333.1426696777344
2026-07-31,308.6438293457031
2026-08-03,303.1585693359375
2026-08-04,309.1134033203125
2026-08-05,310.7320251464844
2026-08-06,312.14080810546875
2026-08-07,313.05999755859375
2026-08-10,308.260009765625
2026-08-11,304.9100036621094
2026-08-12,302.25
2026-08-13,305.260009765625
2026-08-14,305.92999267578125
